"ID","Feature"
1,"C"
2,"F"
3,"C"
4,"B"
5,"B"
6,"F"
7,"C"
8,"E"
9,"D"
10,"F"
11,"F"
12,"A"
13,"B"
14,"C"
15,"E"
16,"C"
17,"C"
18,"A"
19,"D"
20,"A"
21,"A"
22,"E"
23,"C"
24,"B"
25,"B"
26,"A"
27,"F"
28,"C"
29,"D"
30,"F"
31,"A"
32,"C"
33,"E"
34,"D"
35,"B"
36,"E"
37,"A"
38,"A"
39,"B"
40,"C"
41,"D"
42,"E"
43,"E"
44,"C"
45,"F"
46,"A"
47,"B"
48,"E"
49,"E"
50,"D"
51,"E"
52,"B"
53,"A"
54,"A"
55,"C"
56,"A"
57,"F"
58,"E"
59,"A"
60,"B"
61,"D"
62,"D"
63,"F"
64,"F"
65,"C"
66,"F"
67,"F"
68,"A"
69,"F"
70,"B"
71,"A"
72,"B"
73,"D"
74,"E"
75,"E"
76,"F"
77,"C"
78,"A"
79,"D"
80,"F"
81,"A"
82,"F"
83,"A"
84,"C"
85,"F"
86,"D"
87,"A"
88,"F"
89,"F"
90,"C"
91,"F"
92,"E"
93,"C"
94,"F"
95,"B"
96,"E"
97,"E"
98,"C"
99,"B"
100,"B"
101,"B"
102,"D"
103,"B"
104,"B"
105,"F"
106,"D"
107,"D"
108,"F"
109,"A"
110,"F"
111,"F"
112,"F"
113,"C"
114,"F"
115,"C"
116,"F"
117,"A"
118,"C"
119,"E"
120,"B"
121,"F"
122,"F"
123,"C"
124,"B"
125,"E"
126,"F"
127,"E"
128,"C"
129,"D"
130,"D"
131,"F"
132,"D"
133,"E"
134,"C"
135,"A"
136,"F"
137,"B"
138,"A"
139,"B"
140,"E"
141,"C"
142,"D"
143,"D"
144,"A"
145,"F"
146,"F"
147,"D"
148,"A"
149,"F"
150,"C"
151,"D"
152,"C"
153,"E"
154,"D"
155,"D"
156,"D"
157,"F"
158,"A"
159,"B"
160,"C"
161,"D"
162,"C"
163,"A"
164,"F"
165,"E"
166,"E"
167,"B"
168,"C"
169,"E"
170,"F"
171,"F"
172,"A"
173,"D"
174,"B"
175,"D"
176,"E"
177,"E"
178,"F"
179,"E"
180,"E"
181,"A"
182,"B"
183,"A"
184,"B"
185,"E"
186,"E"
187,"A"
188,"B"
189,"E"
190,"D"
191,"B"
192,"F"
193,"B"
194,"C"
195,"A"
196,"A"
197,"E"
198,"E"
199,"C"
200,"B"
201,"E"
202,"F"
203,"E"
204,"C"
205,"C"
206,"A"
207,"D"
208,"B"
209,"A"
210,"B"
211,"D"
212,"E"
213,"A"
214,"A"
215,"A"
216,"E"
217,"F"
218,"F"
219,"F"
220,"C"
221,"A"
222,"B"
223,"B"
224,"A"
225,"B"
226,"A"
227,"E"
228,"B"
229,"C"
230,"E"
231,"D"
232,"E"
233,"B"
234,"A"
235,"D"
236,"F"
237,"B"
238,"F"
239,"E"
240,"A"
241,"E"
242,"A"
243,"D"
244,"C"
245,"A"
246,"F"
247,"A"
248,"B"
249,"D"
250,"B"
251,"A"
252,"E"
253,"E"
254,"A"
255,"A"
256,"E"
257,"E"
258,"B"
259,"B"
260,"F"
261,"E"
262,"A"
263,"A"
264,"E"
265,"E"
266,"D"
267,"E"
268,"E"
269,"D"
270,"B"
271,"E"
272,"A"
273,"A"
274,"B"
275,"A"
276,"B"
277,"E"
278,"A"
279,"C"
280,"B"
281,"B"
282,"E"
283,"D"
284,"A"
285,"E"
286,"B"
287,"E"
288,"F"
289,"B"
290,"B"
291,"F"
292,"D"
293,"C"
294,"D"
295,"C"
296,"C"
297,"C"
298,"E"
299,"C"
300,"B"
