uuid,name,mmsi,imo,eni,country_iso,type,type_specific,lat,lon,speed,course,heading,destination
dbee5baa-4cb3-60f8-b663-a5ef166814e0,HYUNDAI SUPREME,538007487,9347619,,MH,Cargo - Hazard A (Major),Container Ship,35.077484,128.7924,0,103,271,CAVAN
d6c76faf-836a-083a-8d04-35cb45111bd5,ONE MODERN,538004203,9475636,,MH,Cargo - Hazard A (Major),Container Ship,35.077446,128.79619,0,103,269,KRPUS
8f5b660e-8cb1-2741-b05f-50d1ce42ec55,SM SEOUL,440756000,9456953,,KR,Cargo,Container Ship,35.077358,128.78757,0,287,267,CAVAN
eabd6ae8-bab4-1eed-7ec3-fcdb9e5de5e5,JINSUNGHO,440192560,,,KR,Tanker,Tanker,35.07716,128.78749,0,330,84,BUSAN
06dbc1b3-c1ea-5b9c-f5e0-79aa34ac1b29,YUNG CHANG T 1,440005000,9777125,,KR,Tug,Tug,35.075085,128.79245,0.6,228,140,
8574ad56-4607-b107-ac54-cdad99afbb6d,GOOD PROSPECT,538009831,9321031,,MH,Cargo - Hazard D (Recognizable),Container Ship,35.077282,128.79869,0,189,91,KRBNP
efc9ec25-13f6-07ee-16cd-6a3a3c3ca3a4,ATON STATION,994401025,,,KR,Spare,Spare,35.077621,128.7852,,,,
9fa4dd8f-5655-ca1e-1a8c-7ab81181b19e,PILOT.TAEJONGDAE,440013330,,,KR,Pilot Vessel,Pilot Vessel,35.079372,128.78461,0,31,352,
ccd89814-d5ff-a3e7-d12f-ba571f271ba6,HYOP SUNG NO.61,440018500,,,KR,Tug,Tug,35.078918,128.78464,0,340,33,
8c99561f-e310-e394-8c17-e07a67c16b38,YEONG DO HO,440402040,,,KR,Pilot Vessel,Pilot Vessel,35.079388,128.7845,0,156,3,
43522923-dd99-abfe-5568-c13bd1d0303c,SUN JIN 100,440075240,,,KR,Tug,Tug,35.078865,128.7845,0.1,280,4,
688f992a-cae7-d128-73f1-ebdca263ac22,HANKOOK51,440335980,,,KR,Tug,Tug,35.079849,128.78439,0.1,141,333,
1c5c5073-c189-0651-ac26-e72756796d43,KOREA NO.601,440051510,,,KR,Tug,Tug,35.078373,128.78461,0,239,183,BUSAN
835a74b9-e016-ab13-8946-45c7f3ed026d,601.BAEK RYONG HO,440049130,9693288,,KR,Tug,Tug,35.07835,128.78447,0.1,0,,
6b8fe326-2877-f494-805d-a104b58e5209,NO.502 HAERYONG,440083810,9332377,,KR,Tug,Tug,35.079773,128.78424,0.1,151,,
0816ce11-d600-b406-ccf6-57d922a47c08,GAE NA RI,440113610,8741442,,KR,Tug,Tug,35.080193,128.78416,0.4,25,321,BUSAN
461713c5-5097-76f7-f99f-845e65e433cb,JONGHAP65HO,440155260,,,KR,,Unspecified,35.078346,128.78432,0,269,1,
07cdedfc-2d1a-93b2-ee7c-48f126aa4f7b,KOREA NO.1,440112210,9396517,,KR,Tug,Tug,35.08017,128.78401,0.1,336,128,KR PUS
6b041bf0-8e98-2cc9-de1e-3296f39399df,BARO ONE,,,,,,,35.077847,128.7843,0,178,46,
4136f2e8-a02a-aaa6-952e-6e0255084327,YONG KWANG,440118750,9149586,,KR,Tug,Tug,35.077778,128.78432,0.1,184,227,
edb864d7-a615-5ca1-3f3b-a0ddb3483985,DAEJIN 11HO,440313250,9529970,,KR,Other,Tug,35.080528,128.78386,0.5,28,331,BUSAN/KOREA
03bf97e1-939a-0e5a-dc63-1e97259d6a7f,SAMHO T 9,440016540,9618434,,KR,Tug,Tug,35.080517,128.78378,0,315,,
dc877845-de8b-95fe-739b-255442f4a184,YONGSEONG,440112590,9401087,,KR,Tug,Tug,35.08046,128.78365,0.3,81,,BUSAN
79803fed-b2ca-4723-a224-dba172c1ae68,7 YONG SEONG,440030820,9948619,,KR,Tug,Tug,35.077953,128.78389,0.2,305,,
bf58e0e4-2cb0-fd60-826f-d05073ae393c,DAE JIN NO.5,440108150,,,KR,Reserved,Reserved,35.077862,128.78386,0.4,249,85,
423bc59f-1aaf-0ade-8c76-4d134ca012a3,KOREA NO.2,440151610,9657076,,KR,Tug,Tug,35.077808,128.78386,0.1,181,,
4aac0bce-f8fd-19fd-eef2-114070c3f08a,BUSAN 323,440106510,,,KR,Tug,Tug,35.081429,128.78326,0.6,280,,
3b72f0ab-85e3-e391-6875-da1e2d671486,HYOPSUNG NO.31,440324360,9909974,,KR,Tug,Tug,35.077774,128.78334,0.1,103,82,
eb2e06d1-a2fa-d2b6-8bf7-af146cf37a58,MOG RYEON HO,440154020,,,KR,Tug,Tug,35.077881,128.78287,0.1,61,,
a8c5b8d5-d530-8840-081c-fec9029ff3ef,NO.3 YONGSUNG,440150940,,,KR,Tug,Tug,35.077774,128.78288,0.1,301,,
2f920106-2ae3-0e4c-e0c7-41650695b456,NEW MIR,440114740,,,KR,Law Enforce,Law Enforce,35.082253,128.78271,0,124,,
0801dba5-fe03-bc03-0c47-4df4d4c67378,KOREA NO.501,440702880,,,KR,Tug,Tug,35.077793,128.78242,0.1,151,89,
2e437e3e-2ebf-ed70-0e23-30982e6655a2,BECHUME,440111070,,,KR,,Unspecified,35.082458,128.78258,0.8,300,150,BUSAN
a70cd97f-7ff1-c2da-7e12-0093f8331cd8,YUNG CHANG NO.3,440104800,9774147,,KR,Tug,Tug,35.077774,128.78169,0.2,124,105,BUSAN
670c0a89-2582-3f14-4f2f-7f1d31e665c3,V NEWPORT SAFE 1,994406113,,,KR,Safe Water,Safe Water,35.07114,128.79016,,,,
73335f39-d730-45a1-bf7d-fbf4c81c18d0,META 7HO,440412320,,,KR,Tug,Tug,35.077835,128.7805,6,0,6,
b8ffbaa3-67c8-b0b1-b27d-25ceb0b5443e,MAERSK SEVILLE,563000700,9299927,,SG,Cargo - Hazard D (Recognizable),Container Ship,35.077297,128.80397,0,65,89,CNYAT>>KRBUS
3a59fea4-6593-f655-a36a-09dcd2ed1045,SUNJIN NO12,440111820,,,KR,Tug,Tug,35.078438,128.7789,2,353,351,BUSAN
c267728e-b621-c0e4-a758-c4712bebcd17,DONGJIN ACE,440154950,9680736,,KR,Tanker - Hazard D (Recognizable),Oil Products Tanker,35.076832,128.77573,0.2,85,,
6e4727e4-96c6-878a-a8b6-84a91b015cdf,EVER FORWARD,563161200,9850551,,SG,Cargo - Hazard D (Recognizable),Container Ship,35.076965,128.77551,0.1,176,1,CNNGB>KRPUS
58bca211-53ea-2cb0-095e-12e299bae773,ZIM JASPER,477987200,9968061,,HK,Cargo,Container Ship,35.077503,128.80984,0,120,90,KRPUS
7f87c38b-d2f1-59b4-1249-91ecc1f294f3,DONGJIN FORTUNE,441236000,9251145,,KR,Cargo,Container Ship,35.065434,128.7963,0.1,172,79,KR PUS NEW PORT WM
0068f325-de71-7048-da25-a91852331ec2,ANTWERP BRIDGE,441548000,9297527,,KR,Cargo,Container Ship,35.065994,128.7995,0,34,79,KRPNC
facdd10e-74c2-8190-9898-38051e6c4f6d,LING YUN HE,413383270,9223772,,CN,Cargo - Hazard A (Major),Container Ship,35.072807,128.77519,0,247,359,KRPUS HBCT
5cf66545-5980-ab1a-065f-f888c6343df1,CMA CGM ZEPHYR,229321000,9882487,,MT,Cargo - Hazard A (Major),Container Ship,35.067543,128.80827,0,185,78,KRPUS
2ad6b97d-46f1-0648-c16f-150522fa1e4f,BUDAPEST EXPRESS,636093193,9450430,,LR,Cargo,Container Ship,35.061241,128.78395,9.3,199,199,KRPUS > USTIW
1d0eb340-6464-d20f-c3ca-071387d78467,ESL NHAVA SHEVA,255805588,9535199,,PT,Cargo - Hazard D (Recognizable),Container Ship,35.077385,128.81662,0,195,90,YANGSHAN
c7b857ae-0097-4250-d2c9-2b918b4cb266,V NEWPORT SAFE 2,994406187,,,KR,Safe Water,Safe Water,35.060417,128.78441,,,,
c39e8454-faf5-c8a0-0a65-152bbdfc6a92,CMA CGM MAUI,228459800,9938157,,FR,Cargo - Hazard A (Major),Container Ship,35.068344,128.81302,0,24,79,KRPUS
be26a2b6-a92f-b8d4-3863-9e22bb519b31,SEASPAN BELIEF,477548300,9713351,,HK,Cargo - Hazard D (Recognizable),Container Ship,35.07732,128.82057,0,310,89,MXZLO
594e1569-fec7-c4e5-dfb5-a5a6cb3d4cc7,CHO SEUK 2,440000132,,,KR,Cargo,Cargo,35.062386,128.7733,0,262,,
552520cb-de7a-9356-0d5d-c64e8f5e19bd,EVER FORE,354022000,9850824,,PA,Cargo,Container Ship,35.069046,128.81763,0,215,79,PAPAN>KRPUS
35359f75-1584-5d9e-590c-6f8684cc916f,ONE HAWK,372280000,9741413,,PA,Cargo,Container Ship,35.070061,128.82272,0,155,78,CN YSA>KR PUS
c36dc4e9-463d-c6e4-ecc8-75add80a24c3,PILOTBOAT GWANG ANRI,440316760,,,KR,,Unspecified,35.054436,128.78107,9.3,187,192,
a6c8f6f7-d3ed-fb7c-ec7e-64d24c1f3a8d,SEASPAN BRIGHTNESS,477518600,9685346,,HK,Cargo - Hazard A (Major),Container Ship,35.077305,128.82516,0,355,90,KR PUS
4207af3b-8ca9-de34-24db-57c18ff43329,SD G 1 HO,440306380,,,KR,Pleasure Craft,Pleasure Craft,35.077099,128.83044,0,0,296,CLASS B
d4dc0e6f-5f7a-4a6c-798d-3a11b6ecde3d,KOREA 401,440139260,,,KR,Tug,Tug,35.071579,128.82939,0,140,183,
eeae3308-c3b4-9a19-f017-78cd2977e7ff,NO.8 SAM YANG,440117800,,,KR,Tug,Tug,35.076805,128.83061,0,285,,
cf31f7ad-03ea-75ec-2dba-688b48634465,SEABREEZE,636021108,9472579,,LR,Cargo,Container Ship,35.071568,128.82971,0.5,174,86,KR PUS
2de923eb-b653-ce6f-7907-336938f9abd3,101 HJ,440152410,,,KR,Tug,Tug,35.076515,128.83215,0,9,248,
1853ad75-2a7a-375c-5d0d-0e64fb046030,CHANG RONG 11,352001739,8357564,,PA,Cargo,General Cargo,35.073746,128.83231,0,82,358,KR PUS
453de4ba-eddd-f38a-063b-cb1d0ff3e572,NORMAND CLIPPER,257820000,9236200,,NO,Other,Multi Purpose Offshore Vessel,35.072113,128.83224,0,50,180,NEW PORT
97c15bc0-e7f4-ebc6-1432-b34b7bc786bf,BU KYUNG 103 HO,440100459,,,KR,Tug,Tug,35.067265,128.7498,0.1,309,,
1ff295be-e46c-d99a-9c16-6f0d030e3dc8,JI YU,477281000,9078464,,HK,Cargo,Container Ship,35.043083,128.77962,7.6,175,171,KR PUS
902a777d-960d-e2f9-66c6-f859ae996bf5,UL SAN 709,440122240,,,KR,Tug,Tug,35.035072,128.77013,6,166,,"JH/200/4,1/131,1143"
11da1eff-f8e7-568c-70bb-a17777135883,PILOT 11 EULSOOKDO,440127410,,,KR,Pilot Vessel,Pilot Vessel,35.030872,128.79051,16.2,154,,BUSAN/KOREA
f7b944bb-a021-bddd-ed08-a80cc4aa45c9,WOONG JIN T1100 HO,440108770,,,KR,,Unspecified,35.028721,128.80894,0,74,,CLASS B
33b44f2b-acd5-5bc6-bdcb-1ce427617f54,NEW PORT CENTER C,994401584,,,KR,Light Vessel - LANBY - Rig,Light Vessel - LANBY - Rig,35.024376,128.78865,,,,
47d62882-37cb-c604-4585-678558665138,NA RAE HO,440049560,,,KR,Pleasure Craft,Pleasure Craft,35.086273,128.72366,0,106,106,CLASS B
d40051d6-0567-e65b-438e-3a18dbac6192,METIS,440193320,,,KR,Pleasure Craft,Pleasure Craft,35.095055,128.72475,0.1,,,CLASS B
18a53d83-a73e-8803-73d5-4dd93031d29a,THESNAIL,440079390,,,KR,Sailing Vessel,Sailing Vessel,35.09494,128.72374,0,0,,CLASS B
a488a279-9700-eb00-7e3a-3a0129f5605a,NAVE PERSEUS,352005007,9993896,,PA,Tanker,Tanker,35.102081,128.70842,0,161,23,S1650SEATRIAL
184eb6ad-c42e-afca-bae6-0ae908989b62,ROK GOV VESSEL,440800585,,,KR,Sailing Vessel,Sailing Vessel,35.021832,128.73848,0.1,304,227,
d787b7f6-d6e0-0180-2d9f-c5dd156f69f8,MYUNG SUNG,440156830,,,KR,Tug,Tug,35.126446,128.69896,0,249,,
998af661-d291-d2f3-d8e7-c7fcd2013e7f,601 HAN IL HO,440127690,,,KR,Tug,Tug,35.126152,128.69872,0.2,107,,
a240c4eb-434b-78c0-b140-bb53aacb4bd9,OHSUNG 3HO,440077110,9867279,,KR,Cargo,Deck Cargo Ship,35.130875,128.69469,0,90,333,JINHAE
ca791a91-7fc3-1dad-7f66-59ae01a33f07,TAEYANG6003,440212270,,,KR,Tug,Tug,35.120693,128.68773,0,218,,
3429e3d8-58bc-d7d0-9d92-474dd78172b0,IL KWANG 103 HO,440070330,,,KR,Tug,Tug,35.115688,128.68484,0.1,331,,DONHAEHANG
a1f13550-a933-096b-c5f1-65c70f0519ab,ONE ALTAIR,431710000,9468308,,JP,Cargo,Container Ship,34.98600833,128.811425,10,338.4,338,KR PUS
70cfb567-75d9-b296-a09f-9a3ab25e5cd9,GADEOKDO,994401588,,,KR,"Light, with Sectors","Light, with Sectors",34.989513,128.82915,,,,
9bbcb30f-898c-de1e-3748-254324e44a17,KCG OSRV 25,440052730,,,KR,,Unspecified,35.122982,128.68694,0,346,243,
6399ce48-f52a-5ed0-0629-11b93335063a,MIN SOO,440100774,9259575,,KR,Tug,Bulk Carrier,35.119232,128.68405,0,63,214,
cfc41251-5e16-ba1c-043a-059fb51e8c78,YU SUNG,440111690,9877999,,KR,Tanker,Oil Products Tanker,34.98008333,128.818195,9.1,300.4,319,MASAN
efeaf50a-a8a6-bee4-9ea5-5d35be3f36ab,GOHYENHANGRO 4,994401603,,,KR,Light Vessel - LANBY - Rig,Light Vessel - LANBY - Rig,35.046879,128.67229,,,,
b37e0ef9-d605-3633-8420-3d4689fded78,KEUM OH T3,440109390,,,KR,Tug,Tug,34.98399667,128.841325,6.6,71.2,511,BUSAN
994b327f-d91b-aaa4-39a3-acb4392e8652,SEUNHO,440166630,,,KR,Pleasure Craft,Pleasure Craft,35.032555,128.67834,0,0,,CLASS B
d7ef1685-452d-c48e-caa6-8a13844ad726,BUSANNEWPORTLANBY,994401583,,,KR,Light Vessel - LANBY - Rig,Light Vessel - LANBY - Rig,34.966396,128.81241,,,,
ae822f7a-8642-b6d9-bc08-f3ba3e687cc0,SIN ARA HO,440190770,,,KR,,Unspecified,35.141972,128.6721,0,264,,
ac518d85-d781-5c03-6ee2-e263966c00c1,QINGDAO STAR,538010837,9318163,,MH,Cargo - Hazard D (Recognizable),Container Ship,34.96227833,128.8225333,11.6,338.5,343,KRBUS
3bdf5c0c-66f9-90c4-0f8a-c8ec6dc50c79,2YOUNG11,440104880,,,KR,Passenger,Passenger,35.062538,128.6459,12.3,228,,CLASS B
aa99ddbe-9fed-eb17-c1b0-4c973ba6701e,HAN JIN,440100350,,,KR,,Unspecified,35.059425,128.6434,11.6,231,,
d37899c1-fe1f-df76-a398-9ce0ac12fa18,SEONMIDO,4405002,,,KR,"Light, with Sectors","Light, with Sectors",35.063133,128.63931,,,,
f5bb76a8-050a-d2a3-3532-d5276e0183d9,SEATRIAL EARDO2,,,,,,,34.993305,128.67589,0,248,340,JANGMOK
152d78ef-b082-1a5e-4a7c-0b16db12edd3,NEW GONI HO,440200360,,,KR,Tug,Tug,35.067757,128.63086,0.2,83,,
cfd7edc2-7ce8-249a-750b-10684e33e074,ATLANTIC SOUTH,563158200,9414137,,SG,Cargo,Container Ship,34.947265,128.8254467,10.9,86,87,KRPNC
e705c569-d32c-2ad3-a533-2ceb64d2821e,ROK GOV VESSEL,,,,,,,35.144573,128.64194,0,341,168,
306c3ae4-9128-2102-a2e9-1d31e79a486f,ROK GOV VSL,440800004,,,KR,Military Ops,Military Ops,35.150223,128.64412,0,,217,
f7341b11-3eab-4e60-fd2f-70a8945888e6,ROK GOV VESSEL,440800242,,,KR,,Unspecified,35.148628,128.63599,0,118,282,
cefdf4f3-c4d5-4716-1273-ff8680ee6162,ROK GOV VESSEL,440800281,,,KR,,Unspecified,35.148693,128.63597,0,244,282,
072075e6-2fa4-bb81-2cbc-42800abf464e,ROK GOV VESSL,440800015,,,KR,Sailing Vessel,Sailing Vessel,35.148708,128.63548,0,132,281,
3d517bbc-c971-43af-d5d3-895d42e27269,155HUIYUNG,440187650,,,KR,,Unspecified,35.080647,128.61319,0,159,0,
